Rocket launchedPollingTask Timing | elapsed=0 ms dt=0 ms rate=0 Hz
Log data polledPollingTask Timing | elapsed=3842 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3859 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3876 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3893 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3910 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3927 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3944 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3961 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3978 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3995 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4012 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4029 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4046 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4063 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4080 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4097 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4114 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4131 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4148 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4165 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4182 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4199 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4216 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4233 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4250 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4267 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4284 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4301 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4318 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4335 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4352 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4369 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4386 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4403 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4420 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4437 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4454 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4471 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4488 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4505 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4522 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4539 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4556 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4573 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4590 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4607 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4624 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4641 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4658 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4675 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4692 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4709 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4726 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4743 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4760 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4777 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4794 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4811 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4828 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4845 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4862 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4879 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4896 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4913 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4930 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4947 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4964 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4981 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4998 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5015 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5032 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5049 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5066 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5083 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5100 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5117 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5134 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5151 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5168 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5185 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5202 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5219 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5236 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5253 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5270 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5287 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5304 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5321 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5338 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5355 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5372 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5389 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5406 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5423 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5440 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5457 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5474 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5491 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5508 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5525 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5542 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5559 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5576 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5593 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5610 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5627 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5644 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5661 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5678 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5695 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5712 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5729 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5746 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5763 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5780 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5797 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5814 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5831 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5848 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5865 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5882 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=5899 ms dt=17 ms rate=58 Hz
